name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,mass_earth,radius_earth,referencia_general,orbital_period_ref,radius_ref,mass_ref,semi_major_axis_ref,eccentricity_ref,inclination_ref,tzero_tr_ref,tperi_ref,omega_ref,star_radius_ref,star_mass_ref,star_teff_ref,star_distance_ref,star_sp_type_ref,discovery_ref,mass_sini_ref,star_density,star_density_error_min,star_density_error_max,star_density_ref,Detection_Method_Full,mass_sini_earth,mass_earth_error_min,mass_earth_error_max,mass_sini_earth_error_min,mass_sini_earth_error_max,radius_earth_error_min,radius_earth_error_max,T0_val,T0_min,T0_max,T0_val_ref
61 Vir b,Confirmed,,,,0.0182,0.0009,0.0009,,,,4.215011,9e-05,9.2e-05,0.04931,0.00074,0.00072,0.036,0.025,0.037,,,,0.005892,2009.0,2023-08-28,-50.0,69.0,110.0,,,,,,,2455200.597,0.054,0.05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Unknown,Unknown,HD 115617 b,,61 Vir,199.6,-18.3111111,4.74,,,,,8.534418456191977,0.01060496504491282,0.01060496504491282,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3.0,3.0,5531.0,,,Imaging,,HD 115617,,,,"<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>",,,"<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>",,"<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>",,"<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>","<a href=""http://exoplanet.eu/catalog/61_vir_b/"" target=""_blank"" style=""text-decoration:none; color:#d63384; font-weight:bold;"">Eu</a>","<a href=""http://exoplanet.eu/catalog/61_vir_b/"" target=""_blank"" style=""text-decoration:none; color:#d63384; font-weight:bold;"">Eu</a>","<a href=""http://exoplanet.eu/catalog/61_vir_b/"" target=""_blank"" style=""text-decoration:none; color:#d63384; font-weight:bold;"">Eu</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2020yCat.1350....0G/abstract"" target=""_blank"" style=""text-decoration: none; color: #28a745; font-weight:bold;"">Gaia DR3</a>","<a href=""http://exoplanet.eu/catalog/61_vir_b/"" target=""_blank"" style=""text-decoration:none; color:#d63384; font-weight:bold;"">Eu</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract"" target=""_blank"">Vogt et al. 2010</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>",1.6124688569634735,0.15768694942949796,0.15768694942949796,-,RV,5.784477000023082,0.5085254505514797,0.5085254505514797,0.2860455659352073,0.2860455659352073,,,2455200.597,0.054,0.05,"<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>"
61 Vir c,Confirmed,,,,0.05613,0.00236,0.00242,,,,38.0864,0.0053,0.0052,0.2139,0.0032,0.0031,0.022,0.015,0.024,,,,0.025528,2009.0,2023-08-28,0.0,97.0,97.0,,,,,,,2455036.24,0.34,0.3,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Unknown,Unknown,HD 115617 c,,61 Vir,199.6,-18.3111111,4.74,,,,,8.534418456191977,0.01060496504491282,0.01060496504491282,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3.0,3.0,5531.0,,,Imaging,,HD 115617,,,,"<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>",,,"<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>",,"<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>",,"<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>","<a href=""http://exoplanet.eu/catalog/61_vir_c/"" target=""_blank"" style=""text-decoration:none; color:#d63384; font-weight:bold;"">Eu</a>","<a href=""http://exoplanet.eu/catalog/61_vir_c/"" target=""_blank"" style=""text-decoration:none; color:#d63384; font-weight:bold;"">Eu</a>","<a href=""http://exoplanet.eu/catalog/61_vir_c/"" target=""_blank"" style=""text-decoration:none; color:#d63384; font-weight:bold;"">Eu</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2020yCat.1350....0G/abstract"" target=""_blank"" style=""text-decoration: none; color: #28a745; font-weight:bold;"">Gaia DR3</a>","<a href=""http://exoplanet.eu/catalog/61_vir_c/"" target=""_blank"" style=""text-decoration:none; color:#d63384; font-weight:bold;"">Eu</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract"" target=""_blank"">Vogt et al. 2010</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>",1.6124688569634735,0.15768694942949796,0.15768694942949796,-,RV,17.839708462159095,1.1123994230813619,1.1123994230813619,0.7500750395634326,0.7691447439591129,,,2455036.24,0.34,0.3,"<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>"
61 Vir d,Confirmed,,,,0.03436,0.00293,0.00315,,,,123.15,0.16,0.15,0.4677,0.0071,0.0068,0.105,0.072,0.1,,,,0.055869,2009.0,2023-08-28,-77.3,40.0,69.0,,,,,,,2455245.8,3.7,2.9,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Unknown,Unknown,HD 115617 d,,61 Vir,199.6,-18.3111111,4.74,,,,,8.534418456191977,0.01060496504491282,0.01060496504491282,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3.0,3.0,5531.0,,,Imaging,,HD 115617,,,,"<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>",,,"<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>",,"<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>",,"<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>","<a href=""http://exoplanet.eu/catalog/61_vir_d/"" target=""_blank"" style=""text-decoration:none; color:#d63384; font-weight:bold;"">Eu</a>","<a href=""http://exoplanet.eu/catalog/61_vir_d/"" target=""_blank"" style=""text-decoration:none; color:#d63384; font-weight:bold;"">Eu</a>","<a href=""http://exoplanet.eu/catalog/61_vir_d/"" target=""_blank"" style=""text-decoration:none; color:#d63384; font-weight:bold;"">Eu</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2020yCat.1350....0G/abstract"" target=""_blank"" style=""text-decoration: none; color: #28a745; font-weight:bold;"">Gaia DR3</a>","<a href=""http://exoplanet.eu/catalog/61_vir_d/"" target=""_blank"" style=""text-decoration:none; color:#d63384; font-weight:bold;"">Eu</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract"" target=""_blank"">Vogt et al. 2010</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>",1.6124688569634735,0.15768694942949796,0.15768694942949796,-,RV,10.920584050593027,2.5426272527573985,2.5426272527573985,0.9312372313223971,1.0011594807732256,,,2455245.8,3.7,2.9,"<a href=""https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract"" target=""_blank"">Harada et al. 2025</a>"
82 Eri b,Confirmed,,,,0.00676,0.00053,0.00053,,,,18.314,0.0022,0.0022,0.1257,0.00053,0.00052,0.064,0.046,0.065,,,,0.019917,2011.0,2026-01-26,,,,246083.26,0.54,0.54,,,,2460383.26,0.54,0.54,,,,,,,,,,,,,0.61,0.03,0.03,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Unknown,"e Eri b, HD 20794 b",,82 Eri,49.9833333,-43.0697222,4.26,,,,,6.041412675608763,0.0028614955019732884,0.0028614955019732884,-0.38,0.06,0.06,0.79,0.01,0.01,0.93,0.03,0.03,G6 V,14.0,5.0,6.0,5368.0,64.0,64.0,IR Excess,,"e Eri, HD 20794, GJ 139",,,,"<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>",,,"<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>",,"<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""http://exoplanet.eu/catalog/82_eri_b/"" target=""_blank"" style=""text-decoration:none; color:#d63384; font-weight:bold;"">Eu</a>",,"<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2020yCat.1350....0G/abstract"" target=""_blank"" style=""text-decoration: none; color: #28a745; font-weight:bold;"">Gaia DR3</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract"" target=""_blank"">Pepe et al. 2011</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>",1.3846166083007236,0.13513656126755125,0.13513656126755125,-,RV,2.148520028580002,0.16844905549517764,0.16844905549517764,0.16844905549517764,0.16844905549517764,,,2460383.26,0.54,0.54,"<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>"
82 Eri c,Confirmed,,,,0.00938,0.00091,0.00091,,,,89.68,0.1,0.1,0.3625,0.0016,0.0015,0.077,0.055,0.084,,,,0.033597,2011.0,2024-11-04,,,,2460356.2,4.5,5.2,,,,2460356.2,4.5,5.2,,,,,,,,,,,,,0.5,0.05,0.05,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Unknown,"HD 20794 c, e Eri c",,82 Eri,49.9833333,-43.0697222,4.26,,,,,6.041412675608763,0.0028614955019732884,0.0028614955019732884,-0.38,0.06,0.06,0.79,0.01,0.01,0.93,0.03,0.03,G6 V,14.0,5.0,6.0,5368.0,64.0,64.0,IR Excess,,"e Eri, HD 20794, GJ 139",,,,"<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>",,,"<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>",,"<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""http://exoplanet.eu/catalog/82_eri_c/"" target=""_blank"" style=""text-decoration:none; color:#d63384; font-weight:bold;"">Eu</a>",,"<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2020yCat.1350....0G/abstract"" target=""_blank"" style=""text-decoration: none; color: #28a745; font-weight:bold;"">Gaia DR3</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract"" target=""_blank"">Pepe et al. 2011</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>",1.3846166083007236,0.13513656126755125,0.13513656126755125,-,RV,2.9812304538580494,0.794571016486687,0.5085254505514797,0.2892238500011541,0.2892238500011541,,,2460356.2,4.5,5.2,"<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>"
82 Eri d,Confirmed,,,,0.0183,0.0018,0.0018,,,,647.6,2.7,2.5,1.3541,0.0068,0.0068,0.45,0.11,0.1,,,,0.057739,2011.0,2026-01-26,,,,2459933.0,17.0,22.0,,,,2459933.0,17.0,22.0,,,,,,,,,,,,,0.59,0.055,0.055,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Unknown,"e Eri d, HD 20794 d",,82 Eri,49.9833333,-43.0697222,4.26,,,,,6.041412675608763,0.0028614955019732884,0.0028614955019732884,-0.38,0.06,0.06,0.79,0.01,0.01,0.93,0.03,0.03,G6 V,14.0,5.0,6.0,5368.0,64.0,64.0,IR Excess,,"e Eri, HD 20794, GJ 139",,,,"<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>",,,"<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>",,"<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""http://exoplanet.eu/catalog/82_eri_d/"" target=""_blank"" style=""text-decoration:none; color:#d63384; font-weight:bold;"">Eu</a>",,"<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2020yCat.1350....0G/abstract"" target=""_blank"" style=""text-decoration: none; color: #28a745; font-weight:bold;"">Gaia DR3</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>",1.3846166083007236,0.13513656126755125,0.13513656126755125,-,RV,5.816259840682549,0.5689128478044678,0.5689128478044678,0.5720911318704146,0.5720911318704146,,,2459933.0,17.0,22.0,"<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>"
82 Eri e,Discarded,,,,0.015,0.0027,0.003,,,,147.02,0.91,1.43,0.509,0.006,0.006,0.29,0.18,0.14,,,,,2017.0,2024-05-28,268.14,32.66,48.13,,,,,,,,,,,,,,,,,,,,,,0.69,0.13,0.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Unknown,"e Eri e, HD 20794 e",,82 Eri,49.9833333,-43.0697222,4.26,,,,,6.041412675608763,0.0028614955019732884,0.0028614955019732884,-0.38,0.06,0.06,0.813,0.012,0.018,0.93,0.03,0.03,G6 V,14.0,5.0,6.0,5368.0,64.0,64.0,IR Excess,,"e Eri, HD 20794, GJ 139",,,,"<a href=""https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.103F/abstract"" target=""_blank"">Feng et al. 2017</a>",,,"<a href=""https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.103F/abstract"" target=""_blank"">Feng et al. 2017</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.103F/abstract"" target=""_blank"">Feng et al. 2017</a>",,,,"<a href=""https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.103F/abstract"" target=""_blank"">Feng et al. 2017</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2013ApJ...764...78R/abstract"" target=""_blank"">Ramírez et al. 2013</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2020yCat.1350....0G/abstract"" target=""_blank"" style=""text-decoration: none; color: #28a745; font-weight:bold;"">Gaia DR3</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.297N/abstract"" target=""_blank"">Nari et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.103F/abstract"" target=""_blank"">Feng et al. 2017</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.103F/abstract"" target=""_blank"">Feng et al. 2017</a>",1.4249282310740359,0.13949098727755768,0.14145909215004807,-,RV,4.767426098920121,0.8613149818715687,0.9598417879159179,0.858136697805622,0.9534852197840243,,,,,,
AU Mic b,Confirmed,0.02829,0.0084,0.00821,,,,0.427,0.026,0.026,8.463446,5e-06,5e-06,0.07,0.007,0.006,0.07,0.04,0.09,88.39,0.23,0.2,,2020.0,2024-07-26,-52.0,92.8,43.0,,,,,,,2458330.350878,0.000503,0.000535,,,,,,,0.5,0.05,0.05,,,,3.8,1.0,1.0,569.5,4.5,5.1,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,AU Mic,311.29166667,-31.340833346,8.6,,,,,9.714094762937231,0.0021798000161627968,0.0021798000161627968,,,,0.635,0.07,0.04,0.862,0.052,0.052,M0.5 V,0.022,0.003,0.003,3540.0,110.0,120.0,,,,8.99136562256335,4.7862347721108165,,"<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>",,"<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2022A%26A...665A..41G/abstract"" target=""_blank"">Gallenne et al. 2022</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...696A.101K/abstract"" target=""_blank"">Kaminski et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2019A%26A...627A.161P/abstract"" target=""_blank"">Passegger et al. 2019</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2020yCat.1350....0G/abstract"" target=""_blank"" style=""text-decoration: none; color: #28a745; font-weight:bold;"">Gaia DR3</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.228C/abstract"" target=""_blank"" style=""text-decoration:none; color:#007bff; font-weight:bold;"">Cif25</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract"" target=""_blank"">Plavchan et al. 2020</a>",,1.3976654151530492,0.29617247761529286,0.2678262821231027,-,Transit + RV,,2.669758615395268,2.60937121814228,,,0.2914334990044057,0.2914334990044057,2458330.350878,0.000503,0.000535,"<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>"
AU Mic c,Confirmed,0.0455,0.01076,0.01019,,,,0.249,0.015,0.016,18.859023,2.4e-05,2.2e-05,0.119,0.011,0.011,0.18,0.07,0.08,89.46,0.38,0.43,,2020.0,2025-05-26,72.8,49.0,60.7,,,,,,,2458342.223325,0.001105,0.001085,,,,67.8,49.0,32.0,0.26,0.18,0.2,,,,4.7,1.0,1.0,436.0,3.4,3.9,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,AU Mic,311.29166667,-31.340833346,8.6,,,,,9.714094762937231,0.0021798000161627968,0.0021798000161627968,,,,0.635,0.07,0.04,0.862,0.052,0.052,M0.5 V,0.022,0.003,0.003,3540.0,110.0,120.0,,,,14.461192500057702,2.7910362020037316,,"<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>",,"<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2022A%26A...665A..41G/abstract"" target=""_blank"">Gallenne et al. 2022</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...696A.101K/abstract"" target=""_blank"">Kaminski et al. 2025</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2019A%26A...627A.161P/abstract"" target=""_blank"">Passegger et al. 2019</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2020yCat.1350....0G/abstract"" target=""_blank"" style=""text-decoration: none; color: #28a745; font-weight:bold;"">Gaia DR3</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.228C/abstract"" target=""_blank"" style=""text-decoration:none; color:#007bff; font-weight:bold;"">Cif25</a>","<a href=""https://ui.adsabs.harvard.edu/abs/2021A%26A...649A.177M/abstract"" target=""_blank"">Martioli et al. 2021</a>",,1.3976654151530492,0.29617247761529286,0.2678262821231027,-,Transit + RV,,3.4198336549587007,3.238671463199736,,,0.1681347109640802,0.1793436916950189,2458342.223325,0.001105,0.001085,"<a href=""https://ui.adsabs.harvard.edu/abs/2024A%26A...689A.132M/abstract"" target=""_blank"">Mallorquín et al. 2024</a>"
